text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count
यही आज कि जरूरत है।,2019-12-19 14:43:54,,hi,,,165,464,,,1050790529921736704,2018-10-12 16:49:19,FALSE,FALSE,,0,38,FALSE,,76,TRUE,Jayant,,Jayanttikalkar,TRUE,F5F8FA,http://pbs.twimg.com/profile_images/1052728465399656448/ZfnyDdZn_normal.jpg,,1207672912758616067,0,FALSE,Twitter for Android,FALSE,0
"Well said buddy... Tulunaadu is such a beautiful city with wonderful culture, tradition...Some morons really destro… https://t.co/RLLtEpZCNT",2019-12-19 14:43:54,,en,,,7,7,,,1207661413763694592,2019-12-19 13:58:22,FALSE,FALSE,,0,0,FALSE,,0,TRUE,Mr Tulunaadu,,Srinidh68731867,FALSE,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1207672914008576005,0,FALSE,Twitter Web App,FALSE,0
#CAASupport 💪💪💪,2019-12-19 14:43:57,,und,,,40462,5920,"Work at #Servion Global solution at Multi-Tech 🔥🔥😎😎

#SuryaaFacilityService #Chennai

lives in #Tirunelveli",Sankarankovil,886992050,2012-10-17 15:05:00,FALSE,FALSE,,0,72,FALSE,,105,TRUE,Anisingam,,AniSingam,TRUE,C0DEED,http://pbs.twimg.com/profile_images/1197548601540399105/d__yvWWu_normal.jpg,,1207672925308039168,0,FALSE,Twitter for Android,FALSE,0
@Rajput_Ramesh @RanaAyyub ke shanti priya shohar.. #CAASupport,2019-12-19 14:43:57,,in,,,28618,8121,"हम हिन्दुओं की भी कुछ धार्मिक और सांस्कृतिक भावनाएं होती है जो आहात भी होती है, देश के हर धर्म के लिए एक सा सम्मान और अधिकार होने चाहिए ।",Italy,3950429534,2015-10-19 20:07:45,FALSE,FALSE,,2,194,FALSE,,170,TRUE,FOE,,Akshayvashish19,FALSE,C0DEED,http://pbs.twimg.com/profile_images/1140102979657146369/2it5UsUC_normal.jpg,,1207672925307977728,0,FALSE,Twitter for Android,FALSE,0
@erbmjha @TarekFatah #CAASupport,2019-12-19 14:43:56,,und,,,6741,4976,"Mugic Lover 🎹🎸
Big Big fan of Gurdasman & Mugic is like a Super Power for me. 

                               राष्ट्रहित सर्वोपरी 🇮🇳💪💪
सत्यमेव जयते🚩🚩🚩",,1185945448189587464,2019-10-20 15:47:32,FALSE,FALSE,,0,132,FALSE,,417,TRUE,Shubham Prashar,,Sahil71087699,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1203740095183904768/KFW0f-gY_normal.jpg,,1207672919817687043,0,FALSE,Twitter for Android,FALSE,0
"@deespeak I don't understand CAB but still i am againt it as Bollywood against it🤔

Kya logic hai..
Highly misguide… https://t.co/oSXrRTlcRy",2019-12-19 14:43:58,,en,,,33,14,IT Industry,"नोएडा, भारत",103228778,2010-01-09 9:15:22,FALSE,FALSE,,0,9,FALSE,,103,TRUE,Udaybhan Singh,,uday1306,TRUE,C0DEED,http://pbs.twimg.com/profile_images/1134063076049690626/iINGHJko_normal.jpg,,1207672928638316545,0,FALSE,Twitter for Android,FALSE,0
@INCIndia @priyankagandhi Modi government completed 6 years by just using Congress name for every fault. Shame on y… https://t.co/HgeC33mgQP,2019-12-19 14:43:58,,en,"Place(full_name='Palwal, India', id='5351d399e13f979c', url='https://api.twitter.com/1.1/geo/id/5351d399e13f979c.json', _api=None, country_code='IN', place_type='city', country='India', name='Palwal', bounding_box=BoundingBox(type='Polygon', coordinates=[[[77.178003, 27.846392], [77.178003, 28.273326], [77.546596, 28.273326], [77.546596, 27.846392]]], _api=None), attributes={})",,46,146,,"Gurgaon, India",4380202523,2015-12-05 6:27:25,FALSE,FALSE,https://www.facebook.com/,0,17,FALSE,,247,FALSE,Dhruv kaushik,,Dhruvka96630293,TRUE,0,http://pbs.twimg.com/profile_images/839065115483779072/Xse5Duxq_normal.jpg,,1207672931435925504,0,FALSE,Twitter for Android,FALSE,0
@INCIndia #ISupportCAA,2019-12-19 14:43:59,,und,,,722,867,set sample simple save and something to do......,कलयुग में महाकाल के पास,498693940,2012-02-21 9:51:16,FALSE,FALSE,,0,60,FALSE,,136,TRUE,भरत सिंह गुर्जर,,BSGurjar1,TRUE,C0DEED,http://pbs.twimg.com/profile_images/800201317721509888/bWcWie5u_normal.jpg,,1207672935093342210,0,FALSE,Twitter for iPhone,FALSE,0
"#ISupportCAA #IndiaSupportsCAA #CAASupport #NRC_CAB #StopTheRiot  now that I'm fully informed about CAA-NRC, I supp… https://t.co/547Pk0xNN9",2019-12-19 14:43:59,,en,,,21,6,,Mumbai,1200035528680210432,2019-11-28 12:55:58,FALSE,FALSE,http://ezeecreative.wordpress.com,0,0,FALSE,,2,TRUE,Content Marketing Strategist.,,EzeeCreative,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1205196875277598720/3RFG9X9o_normal.jpg,,1207672934074142721,0,FALSE,Twitter for Android,FALSE,0
जब सरकार देश हित में कोई अच्छा कदम उठाती है और चंद देशद्रोही गद्दार उसके विरोध में उतरते हैं तब हमारी भी जिम्मेदारी… https://t.co/heOLMFDasb,2019-12-19 14:44:00,,hi,,,407,525,"समाज सेवक, साहित्य-पाठक",,1195228349116772352,2019-11-15 6:34:51,FALSE,FALSE,,0,14,FALSE,,69,TRUE,चारु मित्र,,VRZTls1gchqayvf,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1198503991031676929/U3R7gaTq_normal.jpg,,1207672936829800456,0,FALSE,Twitter for Android,FALSE,0
TRUE,2019-12-19 14:44:00,,en,,,2737,5974,,,1048098227214409728,2018-10-05 6:31:04,FALSE,FALSE,,0,18,FALSE,,0,TRUE,Raj1,,Raj111168300,FALSE,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1207672937391804416,0,FALSE,Twitter Web App,FALSE,0
"@aajtak @abhishek6164 क्या विदेशों मे सतायें जा रहे आपनो को अपनाना गलत है?
#CAASupport 
#ISupportCAA https://t.co/eRThPkrYYP",2019-12-19 14:44:00,,hi,,,21336,3822,"Nationalist🇮🇳🚩🎪
pratham wars trained Volunteer,RSS.
CHATRA LOKSABHA Social Media incharge BJP & SM & IT Convenor BJYM CHATRA (JH)
 RTs are not endorsement","Chatra, India",914106502993952768,2017-09-30 12:35:48,FALSE,FALSE,,0,233,FALSE,,679,TRUE,Chandan Kumar keshri,,Chandankmrksr,TRUE,F5F8FA,http://pbs.twimg.com/profile_images/1207146232457523201/ktK-_DRr_normal.jpg,,1207672938213892097,0,FALSE,Twitter for Android,FALSE,0
"@narendramodi @antoniocostapm कांग्रेस और उनके साथियों को प्रधानमंत्री @narendramodi जी खुली चुनौती -💪

जिसमे भी हो… https://t.co/L5BRjbg5VI",2019-12-19 14:44:00,,hi,,,48550,123414,"हिन्दू बनना चाहते हैं तो स्वामी विवेकानंद बनें ~
मुस्लिम बनना चाहते हैं तो डॉ० कलाम बनें ~

इतने महान नहीं बन सकते तो बस इंसान बनें 🙏","गुजरात, भारत",1007614320102948864,2018-06-15 13:22:29,FALSE,FALSE,,0,2803,FALSE,,55,TRUE,SANJAY D THAKOR,,sanjaysanjay738,TRUE,F5F8FA,http://pbs.twimg.com/profile_images/1200694159067119616/8QCTFkhM_normal.jpg,,1207672938792726529,0,FALSE,Twitter for Android,FALSE,0
@IAmKaviKori @TajinderBagga @Defence_360 @sumedhOham @TrueIndoIogy @jitengajaria @desertfox61I @amitsurg @thanecv… https://t.co/E209cnH88u,2019-12-19 14:44:01,,hi,,,507,175,"🇮🇳Proud Indian.🇮🇳 
Proud Hindu.
Shree Narendra Modi's Big Fan. 
जय श्री राम। 
भारत माता की जय।","Ahmedabad, India",2786209032,2014-09-02 16:05:39,FALSE,FALSE,,0,14,FALSE,,405,TRUE,Gunjankumar Arora,,gunjan_arora86,FALSE,C0DEED,http://pbs.twimg.com/profile_images/1101117223786160128/zfGzTxFr_normal.jpg,,1207672942403948545,0,FALSE,Twitter for Android,FALSE,0
"अबे इश्क़ की क्या बात किया करते हो,
वो साला दिल ही नहीं रहा जो धक धक किया करता था।
#CAASupport In the time of protest some ""Loose Talk""",2019-12-19 14:44:01,,hi,,,13155,8700,देशभक्त हम भी हैं। लेकिन देश के भक्त हैं।,India,82032272,2009-10-13 6:55:24,FALSE,FALSE,,4,251,FALSE,,1061,FALSE,vishwajeet pandey,,jitaatma,TRUE,EDECE9,http://pbs.twimg.com/profile_images/1164617982670020608/2A4STAvn_normal.jpg,,1207672943163121664,0,FALSE,Twitter for Android,FALSE,0
Mumbaikars r so much better than others..no news of stone pelting as of now😥 although moving thru lanes i was feari… https://t.co/AebzkuTHmV,2019-12-19 14:44:02,,en,,,34322,25360,"I make stories😉||Banker||Analytics Specialist|| Ex-Mckinsey||Views personal||Terror-mongers, Abusers will be blocked||Love laughing n making ppl smile😊😀","मुंबई, भारत",2502127908,2014-05-17 17:48:46,FALSE,FALSE,,10,1100,FALSE,,259,FALSE,Storyteller,,Shilpzzm,FALSE,C0DEED,http://pbs.twimg.com/profile_images/1165153372040617984/DBPQFL-k_normal.jpg,,1207672944782192641,0,FALSE,Twitter for Android,FALSE,0
@TajinderBagga One side we have great people him and other side we have @FarOutAkhtar and @Javedakhtarjadu .. disgu… https://t.co/ngwOrpZh82,2019-12-19 14:44:02,,en,,,2174,43881,"#BharatMataKiJai,#Webmethods #consultant #Gadget Junkie #Movie/#MusicLover.#Diehard #fan of #Dravid.ಬದುಕಿದು ಜಟಕ ಬಂಡಿ!Live & Let Live","Kuala Lumpur City, Kuala Lumpu",88671709,2009-11-09 14:09:40,FALSE,FALSE,,31,434,FALSE,,335,FALSE,neelesh patil,,iNeelesh,FALSE,0,http://pbs.twimg.com/profile_images/1119240284443774976/mdHh3A9k_normal.jpg,,1207672947189669896,0,FALSE,Twitter for Android,FALSE,0
"#CAASupport
#CAA_NRC
https://t.co/vFBiUdYuhb",2019-12-19 14:44:03,,und,,,323,554,🇮🇳,,1158413602128302080,2019-08-05 16:24:59,FALSE,FALSE,,0,35,FALSE,,125,TRUE,SSGOHIL,,ssgohil_malpar,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1193464587745660928/g0cZTJnC_normal.jpg,,1207672949941125123,0,FALSE,Twitter for Android,FALSE,0
"नागरिकता कानून / 5 भाजपा शासित राज्यों समेत 12 प्रदेशों में विरोध; लखनऊ में फायरिंग में एक की मौत, उपद्रवियों ने पु… https://t.co/Zxqk05i1z1",2019-12-19 14:44:03,,hi,,,1,4,,jhandelwalan,1197928722759745536,2019-11-22 17:24:09,FALSE,FALSE,https://www.youtube.com/channel/UCyAIpZpSybXqfWaNwtpshCg,0,38,FALSE,,264,TRUE,Vikas Kannojiya,,vikask8383,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1197943742444892160/UijyYTwS_normal.jpg,,1207672950775779329,0,FALSE,Twitter Web App,FALSE,0
Hypocrite thy name @narendramodi #CAASupport #CAAProtests #Section144 #internetshutdown #IndiaAgainstCCA… https://t.co/iNokDDH59W,2019-12-19 14:44:05,,en,,,2,115,,,3050698440,2015-02-28 18:42:51,FALSE,FALSE,,0,11,FALSE,,93,TRUE,The Political Libra,,DPoliticalLibra,FALSE,C0DEED,http://pbs.twimg.com/profile_images/1178235603831279617/tyWKiHkL_normal.jpg,,1207672958564622338,0,FALSE,Twitter for iPhone,FALSE,0
#CAASupport  #JihadisBurnBengal #jihadi,2019-12-19 14:44:06,,und,,,194,91,,,4821051106,2016-01-17 13:01:47,FALSE,FALSE,,0,2,FALSE,,4,TRUE,Krish Malik,,kaushalko007,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/688708835566088192/O-1TVrWC_normal.jpg,,1207672961664258048,0,FALSE,Twitter for Android,FALSE,0
#SupportCAA #CAASupport,2019-12-19 14:44:08,,und,,,5205,3300,"CopyWriter, Contentwriter, Lyricist, Translator, columnist, ScreenWriter, 
actor, writer, director @ theater","Mumbai, India",16591003,2008-10-04 13:02:46,FALSE,FALSE,http://www.jayeshmestry.in,4,243,FALSE,,1211,FALSE,Jayesh Mestry,,jayeshmestry,TRUE,0,http://pbs.twimg.com/profile_images/1102274697025241088/ukQIIBk3_normal.jpg,,1207672971277602816,0,FALSE,Twitter for Android,FALSE,0
"@yadavakhilesh @RahulGandhi
@ArvindKejriwal

#CAASupport
#CABProtests
क्या भविश्य में आप लोगों को मुसलमानों के अला… https://t.co/yBnAjroLib",2019-12-19 14:44:10,,hi,,,24468,54753,"Views r strictly personal. Anti Nationals r warned to stay away.

Proud Modi~fied

RTs not endorsements",Faridabad,393423628,2011-10-18 14:28:26,FALSE,FALSE,https://twitter.com/naveen_kumar359,12,705,FALSE,,4757,FALSE,Naveen Kumar,,naveen_kumar359,FALSE,9AE4E8,http://pbs.twimg.com/profile_images/1203859579055923200/f89H4DI0_normal.jpg,,1207672981473964033,0,FALSE,Twitter for Android,FALSE,0
@PritishNandy @Jhajhajha o crowd of 25K peoples make there mind come on sir #ISupportCAA,2019-12-19 14:44:12,,en,,,8068,2409,Business man furniture import export,Jodhpur,311342718,2011-06-05 8:48:00,FALSE,FALSE,,2,143,FALSE,,455,TRUE,Surender Singh Jodha,,SJodha,TRUE,C0DEED,http://pbs.twimg.com/profile_images/1123198748786614272/0OQLT5k1_normal.jpg,,1207672988084187137,0,FALSE,Twitter Web App,FALSE,0
This release by home ministry plz read and after do protest #CAASupport #CAA2019 https://t.co/jKBZ3WTX2k,2019-12-19 14:44:12,,en,,,11416,297,I am one engineer I want hindurashtra to modi,"नवसारी, भारत",942719861570011136,2017-12-18 11:35:04,FALSE,FALSE,,0,48,FALSE,,315,TRUE,Hardy mistry,,Hardy13238822,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1207190361132720128/rsLwzYpb_normal.jpg,,1207672986796462080,0,FALSE,Twitter for Android,FALSE,0
"@aajtak @abhishek6164 जिन प्रदर्शनकारीयों को गोली लगी है।
 उनसे निवेदन है कि प्लीज आप मर जाओ।
कोई जरूरत नहीं इस देश… https://t.co/XTtdoc3kjK",2019-12-19 14:44:12,,hi,,,32,23,Official troller. Try to show you Mirror of Truth,"New Delhi, India",1049553442836865024,2018-10-09 6:53:35,FALSE,FALSE,,0,1,FALSE,,67,TRUE,Official Troller,,_officialtroll,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1049555605273231360/3yirQ4LH_normal.jpg,,1207672989317320706,0,FALSE,Twitter for Android,FALSE,0
@iamashu123 @KapilMishra_IND @Real_Anuj @Love_u_My_life @ShivrajKaBhanja @dipahindustani @Amrita_pandey1… https://t.co/GWL4c7Xenw,2019-12-19 14:44:12,,hi,,,45465,25721,"FAN PM MODIJI/FOLLOWED /@AlokTiwari9335 @bhavsarhardiik
@TajinderBagga @PiyushGoyalOffc @sdPachauri1 
@BjpTeenaSharma @ravibhadoria @GitaSKapoor @varunpuri1984","Gujarat, India",1022545732509679616,2018-07-26 18:14:35,FALSE,FALSE,,0,2756,FALSE,,1057,TRUE,JAMES 💎 #IStandWithModiji,,Bjpjames,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1207171835579621377/yYmz0dyh_normal.jpg,,1207672989866745856,0,FALSE,Twitter for Android,FALSE,0
"Dear @PMOIndia @HMOIndia 
Before implementing #NRC across the nation pls ensure to scrap the word secularism from o… https://t.co/rXm4O0tOdK",2019-12-19 14:44:13,,en,,,30067,56648,"Indian First |
Hate Secularism |
RTs are not endorsement |","Orissa, India",102667938,2010-01-07 12:46:39,FALSE,FALSE,,40,931,FALSE,,568,FALSE,Amit  🇮🇳🚩,,cool_only,TRUE,22330,http://pbs.twimg.com/profile_images/1193100426129731584/n9V0p8Gy_normal.jpg,,1207672993838780417,0,FALSE,Twitter for Android,FALSE,0
Extremely Disturbing!! To all who are supporting this Protest .... Tumhari MKB 😡😡😡😡😡😡 #CAASupport #CAAProtest,2019-12-19 14:44:14,,en,,,9857,5127,"a simple and happy go lucky person :) ln love with mountains, cats 🐈 and chai☕️ !!!",India,436600490,2011-12-14 10:24:59,FALSE,FALSE,http://www.abcd.com,7,790,FALSE,,336,TRUE,Prati S,,prati176,TRUE,C0DEED,http://pbs.twimg.com/profile_images/1201347102577586176/Vo1ugbxl_normal.jpg,,1207672998498570241,0,FALSE,Twitter for iPhone,FALSE,0
Indian democracy 😭😭😭,2019-12-19 14:44:15,,en,,,10383,4841,Indian Muslims,,832293640886169601,2017-02-16 18:20:42,FALSE,FALSE,,0,29,FALSE,,333,TRUE,꧁༒☬Indian☬༒꧂,,indainmuslims,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1207652873611272193/E6jty8Od_normal.jpg,,1207673000411254784,0,FALSE,Twitter for Android,FALSE,0
Ivra kelsna adhu,2019-12-19 14:44:16,,tr,,,14016,5049,Namo supporter ethnic kodava work @  #jktyre followed by @PiyushGoyaloffc,"Mysore, India",1098284201110093824,2019-02-20 18:12:13,FALSE,FALSE,,0,227,FALSE,,1480,TRUE,Bheemaiah periyanda,,Bheemai52393057,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1200874004262703105/sXa_JAfn_normal.jpg,,1207673004987179008,0,FALSE,Twitter for Android,FALSE,0
"@NishSwish This explains why the Indian education system is in dire need of reform

When the educators themselves a… https://t.co/s1CZTd0C7V",2019-12-19 14:44:17,,en,,,29191,10689,"Engineer, Banker, Social entrepreneur, Authorpreneur. Proud Indian & Hindu",India,753711967244685312,2016-07-14 22:05:11,FALSE,FALSE,,4,2779,FALSE,,703,TRUE,Devi Prasad Rao 🇮🇳,,DPRArohana,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/753863695831212032/Qr5jNoTJ_normal.jpg,,1207673008237797376,0,FALSE,Twitter Web App,FALSE,0
@narendramodi #IndiaRejectsCAB #Section144 #CAASupport #MumbaikarsAgainstCAB #Emergency2019 #Lucknow #lucknowprotest https://t.co/KmghlcSAEc,2019-12-19 14:44:18,,und,,,12,1040,No.,"Cochin, India",703427251,2012-07-18 17:06:44,FALSE,FALSE,,2,329,FALSE,,2,FALSE,Abhishek KP,,akpmpr,TRUE,0,http://pbs.twimg.com/profile_images/1206839904564645888/P0-MvD0e_normal.jpg,,1207673014495698951,0,FALSE,Twitter for Android,FALSE,0
The only point worth noting amidst all this chaos is the unity among the peacefuls &amp; the betrayal from the dhimmis… https://t.co/dTwxx9LxNs,2019-12-19 14:44:19,,en,,,24811,714,Hyper-Nationalist. More than enough to blow your mind.,Xanadu,18142167,2008-12-15 18:17:18,FALSE,FALSE,,1,61,FALSE,,305,FALSE,Hindu Deadpool,,slaytherenegade,FALSE,642D8B,http://pbs.twimg.com/profile_images/1096498851568005120/urKrCi8A_normal.jpg,,1207673015464603650,0,FALSE,Twitter for Android,FALSE,0
"#ISupportCAA 
@narendramodi @sunilbansalbjp @PMOIndia @AmitShah @AmitShahOffice @myogiadityanath @myogioffice… https://t.co/HQDu0EJA0n",2019-12-19 14:44:20,,und,,,9950,1153,"प्रदेश कार्यसमिति सदस्य 
भारतीय जनता युवा मोर्चा
(उत्तर प्रदेश)



MBA- HR and marketing 
राष्ट्रहित सर्वोपरि","Agra, India",1029975388695318528,2018-08-16 6:17:23,FALSE,FALSE,,0,2296,FALSE,,239,TRUE,Divya chauhan,,Divyachauhan022,TRUE,F5F8FA,http://pbs.twimg.com/profile_images/1206156642368344064/goAJCkFV_normal.jpg,,1207673022439710720,0,FALSE,Twitter for Android,FALSE,0
"होटल में बिना आईडी के रूम नही मिलता तो बिना नागरिकता के हमारे देश में कोई कैसे रह सकता है,… https://t.co/sWLKK1k0cd",2019-12-19 14:44:21,,hi,,,1434,28140,फॉलो करो या न करो तुम्हारी मर्ज़ी न आमन्त्रित किये है और न करना चाहते है🤞 🇮🇳 राष्टहित सर्वोपरि 🇮🇳 हिंदूवादी 🚩विरोधियो को पेलने का शौक़ीन✌️बद्तमीज़ हु🔴,"रामपुर, उत्तर प्रदेश",870234397382852609,2017-06-01 11:03:43,FALSE,FALSE,,1,2704,FALSE,,2406,FALSE,अमन दक्ष (TRH) 🇮🇳,,AmanDaksh7,FALSE,0,http://pbs.twimg.com/profile_images/1198200594441351169/1P0PCCTe_normal.jpg,,1207673024813699072,0,FALSE,Twitter for Android,FALSE,0
#CAASupport,2019-12-19 14:44:22,,und,,,5252,18299,"Architect.........well, at least some are STILL saying, so!!!",India,341309176,2011-07-24 4:49:14,FALSE,FALSE,,203,7674,FALSE,,4605,FALSE,The Architect,,motabhaai,FALSE,131516,http://pbs.twimg.com/profile_images/1066728511098957825/3nUpXxoo_normal.jpg,,1207673028198490112,0,FALSE,Twitter for Android,FALSE,0
