,text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count,tokenized_text,token_texts,no_of_question_marks,no_of_exclamation_marks,no_of_hashtags,no_of_mentions,no_of_urls,cleaned_text,no_of_colon_marks,no_of_words
10,यही आज कि जरूरत है।,19-12-2019 14:43,,hi,,,165,464,,,1.05E+18,12-10-2018 16:49,FALSE,FALSE,,0,38,FALSE,,76,TRUE,Jayant,,Jayanttikalkar,TRUE,F5F8FA,http://pbs.twimg.com/profile_images/1052728465399656448/ZfnyDdZn_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['यह', 'ी', 'आज', 'क', 'ि', 'जर', 'ू', 'रत', 'ह', 'ै', '।']","['यह', 'ी', 'आज', 'क', 'ि', 'जर', 'ू', 'रत', 'ह', 'ै', '।']",0,0,0,0,0,यही आज कि जरूरत है।,0,6
11,"Well said buddy... Tulunaadu is such a beautiful city with wonderful culture, tradition...Some morons really destro… https://t.co/RLLtEpZCNT",19-12-2019 14:43,,en,,,7,7,,,1.21E+18,19-12-2019 13:58,FALSE,FALSE,,0,0,FALSE,,0,TRUE,Mr Tulunaadu,,Srinidh68731867,FALSE,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1.21E+18,0,FALSE,Twitter Web App,FALSE,0,"['Well', 'said', 'buddy', '.', '.', '.', 'Tulunaadu', 'is', 'such', 'a', 'beautiful', 'city', 'with', 'wonderful', 'culture', ',', 'tradition', '.', '.', '.', 'Some', 'morons', 'really', 'destro', '…', 'https://t.co/RLLtEpZCNT']","['Well', 'said', 'buddy', '.', '.', '.', 'Tulunaadu', 'beautiful', 'city', 'wonderful', 'culture', ',', 'tradition', '.', '.', '.', 'morons', 'really', 'destro', '…', 'https://t.co/RLLtEpZCNT']",0,0,0,0,1,Well said buddy Tulunaadu is such a beautiful city with wonderful culture traditionSome morons really destro… ,0,16
12,#CAASupport 💪💪💪,19-12-2019 14:43,,und,,,40462,5920,"Work at #Servion Global solution at Multi-Tech 🔥🔥😎😎

#SuryaaFacilityService #Chennai

lives in #Tirunelveli",Sankarankovil,886992050,17-10-2012 15:05,FALSE,FALSE,,0,72,FALSE,,105,TRUE,Anisingam,,AniSingam,TRUE,C0DEED,http://pbs.twimg.com/profile_images/1197548601540399105/d__yvWWu_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['#CAASupport', '💪', '💪', '💪']","['#CAASupport', '💪', '💪', '💪']",0,0,1,0,0,CAASupport 💪💪💪,0,1
13,@Rajput_Ramesh @RanaAyyub ke shanti priya shohar.. #CAASupport,19-12-2019 14:43,,in,,,28618,8121,"हम हिन्दुओं की भी कुछ धार्मिक और सांस्कृतिक भावनाएं होती है जो आहात भी होती है, देश के हर धर्म के लिए एक सा सम्मान और अधिकार होने चाहिए ।",Italy,3950429534,19-10-2015 20:07,FALSE,FALSE,,2,194,FALSE,,170,TRUE,FOE,,Akshayvashish19,FALSE,C0DEED,http://pbs.twimg.com/profile_images/1140102979657146369/2it5UsUC_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['@Rajput_Ramesh', '@RanaAyyub', 'ke', 'shanti', 'priya', 'shohar', '.', '.', '#CAASupport']","['@Rajput_Ramesh', '@RanaAyyub', 'ke', 'shanti', 'priya', 'shohar', '.', '.', '#CAASupport']",0,0,1,2,0,  ke shanti priya shohar CAASupport,0,5
14,@erbmjha @TarekFatah #CAASupport,19-12-2019 14:43,,und,,,6741,4976,"Mugic Lover 🎹🎸
Big Big fan of Gurdasman & Mugic is like a Super Power for me. 

                               राष्ट्रहित सर्वोपरी 🇮🇳💪💪
सत्यमेव जयते🚩🚩🚩",,1.19E+18,20-10-2019 15:47,FALSE,FALSE,,0,132,FALSE,,417,TRUE,Shubham Prashar,,Sahil71087699,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1203740095183904768/KFW0f-gY_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['@erbmjha', '@TarekFatah', '#CAASupport']","['@erbmjha', '@TarekFatah', '#CAASupport']",0,0,1,2,0,  CAASupport,0,1
15,"@deespeak I don't understand CAB but still i am againt it as Bollywood against it🤔

Kya logic hai..
Highly misguide… https://t.co/oSXrRTlcRy",19-12-2019 14:43,,en,,,33,14,IT Industry,"नोएडा, भारत",103228778,09-01-2010 09:15,FALSE,FALSE,,0,9,FALSE,,103,TRUE,Udaybhan Singh,,uday1306,TRUE,C0DEED,http://pbs.twimg.com/profile_images/1134063076049690626/iINGHJko_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['@deespeak', 'I', ""don't"", 'understand', 'CAB', 'but', 'still', 'i', 'am', 'againt', 'it', 'as', 'Bollywood', 'against', 'it', '🤔', 'Kya', 'logic', 'hai', '.', '.', 'Highly', 'misguide', '…', 'https://t.co/oSXrRTlcRy']","['@deespeak', 'understand', 'CAB', 'still', 'againt', 'Bollywood', '🤔', 'Kya', 'logic', 'hai', '.', '.', 'Highly', 'misguide', '…', 'https://t.co/oSXrRTlcRy']",0,0,0,1,1," I don't understand CAB but still i am againt it as Bollywood against it🤔

Kya logic hai
Highly misguide… ",0,20
16,@INCIndia @priyankagandhi Modi government completed 6 years by just using Congress name for every fault. Shame on y… https://t.co/HgeC33mgQP,19-12-2019 14:43,,en,"Place(full_name='Palwal, India', id='5351d399e13f979c', url='https://api.twitter.com/1.1/geo/id/5351d399e13f979c.json', _api=None, country_code='IN', place_type='city', country='India', name='Palwal', bounding_box=BoundingBox(type='Polygon', coordinates=[[[77.178003, 27.846392], [77.178003, 28.273326], [77.546596, 28.273326], [77.546596, 27.846392]]], _api=None), attributes={})",,46,146,,"Gurgaon, India",4380202523,05-12-2015 06:27,FALSE,FALSE,https://www.facebook.com/,0,17,FALSE,,247,FALSE,Dhruv kaushik,,Dhruvka96630293,TRUE,0,http://pbs.twimg.com/profile_images/839065115483779072/Xse5Duxq_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['@INCIndia', '@priyankagandhi', 'Modi', 'government', 'completed', '6', 'years', 'by', 'just', 'using', 'Congress', 'name', 'for', 'every', 'fault', '.', 'Shame', 'on', 'y', '…', 'https://t.co/HgeC33mgQP']","['@INCIndia', '@priyankagandhi', 'Modi', 'government', 'completed', '6', 'years', 'using', 'Congress', 'name', 'every', 'fault', '.', 'Shame', '…', 'https://t.co/HgeC33mgQP']",0,0,0,2,1,  Modi government completed 6 years by just using Congress name for every fault Shame on y… ,0,16
17,@INCIndia #ISupportCAA,19-12-2019 14:43,,und,,,722,867,set sample simple save and something to do......,कलयुग में महाकाल के पास,498693940,21-02-2012 09:51,FALSE,FALSE,,0,60,FALSE,,136,TRUE,भरत सिंह गुर्जर,,BSGurjar1,TRUE,C0DEED,http://pbs.twimg.com/profile_images/800201317721509888/bWcWie5u_normal.jpg,,1.21E+18,0,FALSE,Twitter for iPhone,FALSE,0,"['@INCIndia', '#ISupportCAA']","['@INCIndia', '#ISupportCAA']",0,0,1,1,0, ISupportCAA,0,1
18,"#ISupportCAA #IndiaSupportsCAA #CAASupport #NRC_CAB #StopTheRiot  now that I'm fully informed about CAA-NRC, I supp… https://t.co/547Pk0xNN9",19-12-2019 14:43,,en,,,21,6,,Mumbai,1.20E+18,28-11-2019 12:55,FALSE,FALSE,http://ezeecreative.wordpress.com,0,0,FALSE,,2,TRUE,Content Marketing Strategist.,,EzeeCreative,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1205196875277598720/3RFG9X9o_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['#ISupportCAA', '#IndiaSupportsCAA', '#CAASupport', '#NRC_CAB', '#StopTheRiot', 'now', 'that', ""I'm"", 'fully', 'informed', 'about', 'CAA-NRC', ',', 'I', 'supp', '…', 'https://t.co/547Pk0xNN9']","['#ISupportCAA', '#IndiaSupportsCAA', '#CAASupport', '#NRC_CAB', '#StopTheRiot', ""I'm"", 'fully', 'informed', 'CAA-NRC', ',', 'supp', '…', 'https://t.co/547Pk0xNN9']",0,0,5,0,1,ISupportCAA IndiaSupportsCAA CAASupport NRC_CAB StopTheRiot  now that I'm fully informed about CAA-NRC I supp… ,0,16
19,जब सरकार देश हित में कोई अच्छा कदम उठाती है और चंद देशद्रोही गद्दार उसके विरोध में उतरते हैं तब हमारी भी जिम्मेदारी… https://t.co/heOLMFDasb,19-12-2019 14:44,,hi,,,407,525,"समाज सेवक, साहित्य-पाठक",,1.20E+18,15-11-2019 06:34,FALSE,FALSE,,0,14,FALSE,,69,TRUE,चारु मित्र,,VRZTls1gchqayvf,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1198503991031676929/U3R7gaTq_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['जब', 'सरक', 'ा', 'र', 'द', 'े', 'श', 'ह', 'ि', 'त', 'म', 'े', 'ं', 'क', 'ो', 'ई', 'अच', '्', 'छ', 'ा', 'कदम', 'उठ', 'ा', 'त', 'ी', 'ह', 'ै', 'और', 'च', 'ं', 'द', 'द', 'े', 'शद', '्', 'र', 'ो', 'ह', 'ी', 'गद', '्', 'द', 'ा', 'र', 'उसक', 'े', 'व', 'ि', 'र', 'ो', 'ध', 'म', 'े', 'ं', 'उतरत', 'े', 'ह', 'ै', 'ं', 'तब', 'हम', 'ा', 'र', 'ी', 'भ', 'ी', 'ज', 'ि', 'म', '्', 'म', 'े', 'द', 'ा', 'र', 'ी', '…', 'https://t.co/heOLMFDasb']","['जब', 'सरक', 'ा', 'र', 'द', 'े', 'श', 'ह', 'ि', 'त', 'म', 'े', 'ं', 'क', 'ो', 'ई', 'अच', '्', 'छ', 'ा', 'कदम', 'उठ', 'ा', 'त', 'ी', 'ह', 'ै', 'और', 'च', 'ं', 'द', 'द', 'े', 'शद', '्', 'र', 'ो', 'ह', 'ी', 'गद', '्', 'द', 'ा', 'र', 'उसक', 'े', 'व', 'ि', 'र', 'ो', 'ध', 'म', 'े', 'ं', 'उतरत', 'े', 'ह', 'ै', 'ं', 'तब', 'हम', 'ा', 'र', 'ी', 'भ', 'ी', 'ज', 'ि', 'म', '्', 'म', 'े', 'द', 'ा', 'र', 'ी', '…', 'https://t.co/heOLMFDasb']",0,0,0,0,1,जब सरकार देश हित में कोई अच्छा कदम उठाती है और चंद देशद्रोही गद्दार उसके विरोध में उतरते हैं तब हमारी भी जिम्मेदारी… ,0,42
